Disease,Bat,Brain,Epi,Heart,Kidney,Liver,Lung,SKM,Spleen,SubQ
"Familial Partial Lipodystrophy, Type 1",4.99E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Familial Partial Lipodystrophy, Type 2",4.99E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Familial Partial Lipodystrophy, Type 3",4.99E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Arrhythmogenic Right Ventricular Dysplasia,5.14E-01,6.45E-01,1.00E+00,3.54E-02,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Abnormality of the cornea,5.30E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.49E-01,1.00E+00,1.00E+00,1.00E+00
Malformations of Cortical Development,5.56E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Acute Coronary Syndrome,5.72E-01,1.00E+00,1.00E+00,1.63E-01,1.00E+00,1.00E+00,2.19E-01,1.00E+00,1.00E+00,1.00E+00
Diabetic Angiopathies,5.72E-01,1.00E+00,9.02E-01,1.00E+00,1.00E+00,1.00E+00,4.51E-01,5.22E-01,5.69E-01,1.00E+00
"Microangiopathy, Diabetic",5.72E-01,1.00E+00,9.02E-01,1.00E+00,1.00E+00,1.00E+00,4.51E-01,5.22E-01,5.69E-01,1.00E+00
Familial dilated cardiomyopathy,5.72E-01,1.00E+00,9.38E-01,1.20E-01,1.00E+00,1.00E+00,9.60E-01,1.00E+00,1.00E+00,1.00E+00
Anoxemia,5.72E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.18E-01,1.00E+00,8.28E-01,1.00E+00
Anoxia,5.72E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.18E-01,1.00E+00,8.28E-01,1.00E+00
Hypoxia,5.72E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.18E-01,1.00E+00,8.28E-01,1.00E+00
Hypoxemia,5.72E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.18E-01,1.00E+00,8.28E-01,1.00E+00
"Kidney Failure, Acute",6.24E-01,8.83E-01,2.59E-01,1.18E-02,2.04E-02,3.65E-02,2.19E-01,3.30E-01,1.84E-01,1.59E-01
Acute Kidney Insufficiency,6.24E-01,8.83E-01,2.59E-01,1.18E-02,2.04E-02,3.65E-02,2.19E-01,3.30E-01,1.84E-01,1.59E-01
Acute kidney injury,6.24E-01,8.83E-01,2.59E-01,1.18E-02,2.04E-02,3.65E-02,2.19E-01,3.30E-01,1.84E-01,1.59E-01
Myocardial Ischemia,6.24E-01,1.00E+00,2.13E-01,1.00E+00,1.00E+00,1.00E+00,4.69E-01,1.00E+00,1.00E+00,7.56E-01
"NEPHROTIC SYNDROME, STEROID-RESISTANT, AUTOSOMAL RECESSIVE",6.24E-01,1.00E+00,9.02E-01,1.00E+00,1.00E+00,1.00E+00,6.77E-01,1.00E+00,1.84E-01,1.00E+00
Coughing,6.24E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.77E-01,3.30E-01,1.00E+00,1.00E+00
Afibrinogenemia,6.24E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.77E-01,1.00E+00,6.08E-01,7.56E-01
Congenital hypofibrinogenemia,6.24E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.77E-01,1.00E+00,6.08E-01,7.56E-01
Fibrinogen Deficiency,6.24E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.77E-01,1.00E+00,6.08E-01,7.56E-01
Lissencephaly,6.24E-01,1.00E+00,9.02E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,3.30E-01,1.00E+00,1.00E+00
Pachygyria,6.24E-01,1.00E+00,9.02E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,3.30E-01,1.00E+00,1.00E+00
Agyria,6.24E-01,1.00E+00,9.02E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,3.30E-01,1.00E+00,1.00E+00
Atypical Hemolytic Uremic Syndrome,6.24E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.18E-01,1.00E+00,1.00E+00,1.00E+00
Necrosis,6.24E-01,1.00E+00,1.00E+00,5.61E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Nephroblastoma,6.24E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.08E-01,1.00E+00
Gaucher Disease,6.24E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.77E-01,1.00E+00,1.00E+00,1.00E+00
"Gaucher Disease, Type 2 (disorder)",6.24E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.77E-01,1.00E+00,1.00E+00,1.00E+00
"Gaucher Disease, Type 3 (disorder)",6.24E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.77E-01,1.00E+00,1.00E+00,1.00E+00
Alternating hemiplegia of childhood,6.24E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.56E-01
"Nephritis, Interstitial",6.24E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,8.29E-01,1.00E+00,1.00E+00,1.00E+00
"Nephritis, Tubulointerstitial",6.24E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,8.29E-01,1.00E+00,1.00E+00,1.00E+00
Hepatoblastoma,6.24E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,8.29E-01,1.00E+00,1.00E+00,1.00E+00
Hyperlipidemia,6.24E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Lipidemias,6.24E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
anaphylaxis,6.24E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Porphyria Cutanea Tarda,6.24E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Combined D-2- and L-2-hydroxyglutaric aciduria,6.24E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Endogenous Hyperinsulinism,6.39E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.18E-01,6.34E-01,1.00E+00,1.00E+00
Exogenous Hyperinsulinism,6.39E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.18E-01,6.34E-01,1.00E+00,1.00E+00
Compensatory Hyperinsulinemia,6.39E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.18E-01,6.34E-01,1.00E+00,1.00E+00
HIV Infections,6.55E-01,1.00E+00,1.00E+00,1.00E+00,2.04E-02,4.04E-02,1.00E+00,1.54E-02,3.17E-01,1.59E-01
HIV Coinfection,6.55E-01,1.00E+00,1.00E+00,1.00E+00,2.04E-02,4.04E-02,1.00E+00,1.54E-02,3.17E-01,1.59E-01
Myopathy,6.55E-01,1.00E+00,1.00E+00,5.61E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E-01
Hypertensive disease,7.26E-01,1.00E+00,3.79E-01,5.61E-01,8.54E-01,1.00E+00,2.19E-01,5.97E-01,1.00E+00,7.51E-01
"Lymphoma, Lymphocytic, Intermediate",7.26E-01,1.00E+00,1.00E+00,4.45E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,3.17E-01,1.00E+00
"PARKINSON DISEASE, LATE-ONSET",7.26E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.04E-01,1.00E+00,1.00E+00,1.00E+00
Cardiac Arrhythmia,7.26E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Toxic Epidermal Necrolysis,7.28E-01,1.00E+00,1.00E+00,9.29E-02,1.00E+00,1.00E+00,2.34E-01,1.03E-02,1.00E+00,5.64E-02
Drug-Induced Stevens Johnson Syndrome,7.28E-01,1.00E+00,1.00E+00,9.29E-02,1.00E+00,1.00E+00,2.34E-01,1.03E-02,1.00E+00,5.64E-02
Mycoplasma-Induced Stevens-Johnson Syndrome,7.28E-01,1.00E+00,1.00E+00,9.29E-02,1.00E+00,1.00E+00,2.34E-01,1.03E-02,1.00E+00,5.64E-02
Stevens-Johnson Syndrome Toxic Epidermal Necrolysis Spectrum,7.28E-01,1.00E+00,1.00E+00,9.29E-02,1.00E+00,1.00E+00,2.34E-01,1.03E-02,1.00E+00,5.64E-02
"Anemia, hereditary spherocytic hemolytic",7.28E-01,1.00E+00,3.79E-01,7.89E-02,1.00E+00,1.00E+00,8.66E-01,4.77E-01,7.19E-01,8.61E-01
Iron Overload,7.28E-01,1.00E+00,1.00E+00,5.41E-01,1.00E+00,7.80E-01,8.66E-01,1.00E+00,2.69E-01,8.61E-01
Cutaneous Melanoma,7.28E-01,1.00E+00,9.02E-01,1.00E+00,1.00E+00,1.00E+00,5.73E-02,1.00E+00,1.00E+00,9.23E-01
"Glomerulonephritis, Membranoproliferative",7.28E-01,1.00E+00,1.00E+00,5.41E-01,1.00E+00,7.80E-01,8.66E-01,1.00E+00,7.19E-01,1.00E+00
Lateral Sclerosis,7.28E-01,9.85E-01,3.79E-01,1.00E+00,1.00E+00,1.00E+00,8.66E-01,1.00E+00,1.00E+00,1.00E+00
Arthritis,7.28E-01,9.85E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.19E-01,8.61E-01
Polyarthritis,7.28E-01,9.85E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.19E-01,8.61E-01
"Muscular Dystrophy, Emery-Dreifuss",7.28E-01,9.85E-01,1.00E+00,1.00E+00,1.00E+00,7.80E-01,8.66E-01,1.00E+00,1.00E+00,1.00E+00
Autosomal Dominant Emery-Dreifuss Muscular Dystrophy (disorder),7.28E-01,9.85E-01,1.00E+00,1.00E+00,1.00E+00,7.80E-01,8.66E-01,1.00E+00,1.00E+00,1.00E+00
Autosomal Recessive Emery-Dreifuss Muscular Dystrophy,7.28E-01,9.85E-01,1.00E+00,1.00E+00,1.00E+00,7.80E-01,8.66E-01,1.00E+00,1.00E+00,1.00E+00
Hereditary Diffuse Gastric Cancer,7.28E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.68E-01,1.00E+00,1.00E+00,1.00E+00
"Huntington Disease, Late Onset",7.28E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.19E-01,1.00E+00
Akinetic-Rigid Variant of Huntington Disease,7.28E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.19E-01,1.00E+00
Juvenile Huntington Disease,7.28E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.19E-01,1.00E+00
Becker Muscular Dystrophy,7.28E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,8.66E-01,1.00E+00,1.00E+00,8.61E-01
Duchenne and Becker Muscular Dystrophy,7.28E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,8.66E-01,1.00E+00,1.00E+00,8.61E-01
Diabetes Mellitus,7.28E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.40E-01,1.00E+00,1.00E+00,1.00E+00
Maple Syrup Urine Disease,7.28E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,8.61E-01
Classic Maple Syrup Urine Disease,7.28E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,8.61E-01
Intermittent Maple Syrup Urine Disease,7.28E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,8.61E-01
"Maple Syrup Urine Disease, Thiamine Responsive",7.28E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,8.61E-01
Intermediate Maple Syrup Urine Disease,7.28E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,8.61E-01
Staphylococcal Infections,7.28E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,8.66E-01,1.00E+00,1.00E+00,1.00E+00
Staphylococcus aureus infection,7.28E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,8.66E-01,1.00E+00,1.00E+00,1.00E+00
"Gaucher Disease, Type 1",7.28E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,8.66E-01,1.00E+00,1.00E+00,1.00E+00
"Myasthenic Syndromes, Congenital",7.28E-01,9.85E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Hepatoblastoma Caused By Somatic Mutation,7.28E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Restless Legs Syndrome,7.28E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Stevens-Johnson Syndrome,7.40E-01,1.00E+00,1.00E+00,1.09E-01,1.00E+00,1.00E+00,2.61E-01,1.03E-02,1.00E+00,5.65E-02
Marfan Syndrome,7.40E-01,1.00E+00,2.59E-01,3.64E-01,1.00E+00,1.00E+00,2.61E-01,1.03E-02,1.00E+00,9.23E-01
Cataract,7.40E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Nephrotic Syndrome,7.80E-01,6.31E-01,3.79E-01,1.17E-01,1.00E+00,1.00E+00,2.19E-01,4.87E-02,7.63E-01,1.00E-01
Stomach Neoplasms,8.03E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.79E-01,1.00E+00,1.00E+00,1.00E+00
"Muscular Dystrophy, Facioscapulohumeral",8.58E-01,1.00E+00,1.00E+00,5.34E-01,1.00E+00,1.00E+00,5.30E-01,1.00E+00,1.00E+00,1.00E+00
"Hepatitis, Chronic",8.58E-01,1.00E+00,1.00E+00,4.71E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.85E-01
Chronic Persistent Hepatitis,8.58E-01,1.00E+00,1.00E+00,4.71E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.85E-01
Chronic active hepatitis,8.58E-01,1.00E+00,1.00E+00,4.71E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.85E-01
Cryptogenic Chronic Hepatitis,8.58E-01,1.00E+00,1.00E+00,4.71E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.85E-01
Malignant neoplasm of stomach,8.58E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.53E-01,1.00E+00,1.00E+00,1.00E+00
Huntington Disease,8.58E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,8.19E-01,1.00E+00
Cortical Dysplasia,8.58E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Respiratory Tract Diseases,8.89E-01,6.31E-01,1.00E+00,5.61E-01,1.00E+00,1.00E+00,4.51E-01,6.86E-02,8.28E-01,1.00E+00
