Cluster Number	GeneID	Symbol	
12	158399	ZNF483	
12	221785	ZNF498	
12	26048	ZNF500	
12	284312	ZSCAN1	
12	80345	ZSCAN16	
12	65982	ZSCAN18	
12	7579	ZSCAN20	
12	7589	ZSCAN21	
12	342945	ZSCAN22	
12	222696	ZSCAN23	
12	100101467	ZSCAN30	
13	79719	AAGAB	
13	22848	AAK1	
13	273	AMPH	
13	162	AP1B1	
13	10053	AP1M2	
13	1174	AP1S1	
13	130340	AP1S3	
13	160	AP2A1	
13	161	AP2A2	
13	163	AP2B1	
13	1173	AP2M1	
13	1175	AP2S1	
13	158763	ARHGAP36	
13	274	BIN1	
13	51411	BIN2	
13	90416	C15orf57	
13	9685	CLINT1	
13	58513	EPS15L1	
13	23149	FCHO1	
13	6453	ITSN1	
13	50618	ITSN2	
13	51599	LSR	
13	81557	MAGED4B	
13	4201	MEA1	
13	25977	NECAP1	
13	55707	NECAP2	
13	9867	PJA2	
13	85021	REPS1	
13	9185	REPS2	
13	57455	REXO1	
13	10900	RUNDC3A	
13	154661	RUNDC3B	
13	51429	SNX9	
13	85439	STON2	
13	9900	SV2A	
13	8867	SYNJ1	
14	84277	DNAJC30	
14	51295	ECSIT	
14	2523	FUT1	
14	4536	ND2	
14	4538	ND4	
14	4540	ND5	
14	4694	NDUFA1	
14	55967	NDUFA12	
14	51079	NDUFA13	
14	4698	NDUFA5	
14	4701	NDUFA7	
14	4702	NDUFA8	
14	4704	NDUFA9	
14	4707	NDUFB1	
14	4716	NDUFB10	
14	54539	NDUFB11	
14	4709	NDUFB3	
14	4710	NDUFB4	
14	4711	NDUFB5	
14	4712	NDUFB6	
14	4713	NDUFB7	
14	4714	NDUFB8	
14	4715	NDUFB9	
14	4718	NDUFC2	
14	4719	NDUFS1	
14	4720	NDUFS2	
14	4722	NDUFS3	
14	4724	NDUFS4	
14	4725	NDUFS5	
14	4726	NDUFS6	
14	4728	NDUFS8	
14	4723	NDUFV1	
14	4729	NDUFV2	
14	4731	NDUFV3	
14	112476	PRRT2	
14	55863	TMEM126B	
15	55156	ARMC1	
15	55172	C14orf104	
15	794	CALB2	
15	815	CAMK2A	
15	55143	CDCA8	
15	1400	CRMP1	
15	1633	DCK	
15	9201	DCLK1	
15	1716	DGUOK	
15	10059	DNM1L	
15	1804	DPP6	
15	26059	ERC2	
15	54331	GNG2	
15	2891	GRIA2	
15	10456	HAX1	
15	8340	HIST1H2BL	
15	3208	HPCA	
15	51440	HPCAL4	
15	3897	L1CAM	
15	4045	LSAMP	
15	4133	MAP2	
15	4137	MAPT	
15	63908	NAPB	
15	26747	NUFIP1	
15	5138	PDE2A	
15	27341	RRP7A	
15	57468	SLC12A5	
15	6616	SNAP25	
15	9892	SNAP91	
15	6620	SNCB	
15	6804	STX1A	
15	112755	STX1B	
15	6853	SYN1	
15	6854	SYN2	
15	7447	VSNL1	
16	54998	AURKAIP1	
16	84273	C4orf14	
16	7818	DAP3	
16	57696	DDX55	
16	10589	DRAP1	
16	55173	MRPS10	
16	64963	MRPS11	
16	63931	MRPS14	
16	64960	MRPS15	
16	51021	MRPS16	
16	28973	MRPS18B	
16	51023	MRPS18C	
16	51116	MRPS2	
16	54460	MRPS21	
16	56945	MRPS22	
16	51649	MRPS23	
16	64951	MRPS24	
16	64432	MRPS25	
16	64949	MRPS26	
16	23107	MRPS27	
16	28957	MRPS28	
16	10240	MRPS31	
16	51650	MRPS33	
16	65993	MRPS34	
16	60488	MRPS35	
16	64969	MRPS5	
16	64968	MRPS6	
16	64965	MRPS9	
16	84968	PNMA6A	
16	55037	PTCD3	
16	158234	RG9MTD3	
16	6128	RPL6	
16	7163	TPD52	
16	7692	ZNF133	
17	23245	ASTN2	
17	28970	C11orf54	
17	400591	C17orf102	
17	148345	C1orf127	
17	10576	CCT2	
17	7203	CCT3	
17	10575	CCT4	
17	22948	CCT5	
17	908	CCT6A	
17	10693	CCT6B	
17	10574	CCT7	
17	10694	CCT8	
17	64446	DNAI2	
17	6468	FBXW4	
17	23193	GANAB	
17	23030	KDM4B	
17	55220	KLHDC8A	
17	123103	KLHL33	
17	225689	MAPK15	
17	4956	ODF1	
17	5082	PDCL	
17	79031	PDCL3	
17	5191	PEX7	
17	57826	RAP2C	
17	25956	SEC31B	
17	6950	TCP1	
17	26140	TTLL3	
17	164395	TTLL9	
17	112714	TUBA3E	
17	79861	TUBAL3	
17	10190	TXNDC9	
17	79084	WDR77	
17	349136	WDR86	
18	90381	C15orf42	
18	375341	C3orf62	
18	8900	CCNA1	
18	890	CCNA2	
18	891	CCNB1	
18	9133	CCNB2	
18	595	CCND1	
18	894	CCND2	
18	896	CCND3	
18	898	CCNE1	
18	9134	CCNE2	
18	991	CDC20	
18	983	CDK1	
18	1017	CDK2	
18	1018	CDK3	
18	1026	CDKN1A	
18	1027	CDKN1B	
18	1028	CDKN1C	
18	1033	CDKN3	
18	81620	CDT1	
18	1163	CKS1B	
18	1164	CKS2	
18	1387	CREBBP	
18	2033	EP300	
18	92797	HELB	
18	27085	MTBP	
18	4998	ORC1	
18	9088	PKMYT1	
18	5933	RBL1	
18	5934	RBL2	
18	25939	SAMHD1	
18	49855	SCAPER	
18	284273	ZADH2	
19	217	ALDH2	
19	218	ALDH3A1	
19	336	APOA2	
19	337	APOA4	
19	352999	C6orf58	
19	767	CA8	
19	1356	CP	
19	1471	CST3	
19	64794	DDX31	
19	284161	GDPD1	
19	56287	GKN1	
19	3042	HBM	
19	3240	HP	
19	3263	HPX	
19	3502	IGHG3	
19	3503	IGHG4	
19	3507	IGHM	
19	3538	IGLC2	
19	4025	LPO	
19	4069	LYZ	
19	10232	MSLN	
19	4586	MUC5AC	
19	79664	NARG2	
19	5004	ORM1	
19	5005	ORM2	
19	219988	PATL1	
19	5304	PIP	
19	58503	PROL1	
19	81609	SNX27	
19	6947	TCN1	
19	7276	TTR	
20	79575	ABHD8	
20	79798	ARMC5	
20	9150	CTDP1	
20	1797	DOM3Z	
20	92344	GORAB	
20	11321	GPN1	
20	54707	GPN2	
20	81488	GRINL1A	
20	132014	IL17RE	
20	4005	LMO2	
20	4330	MN1	
20	4437	MSH3	
20	55011	PIH1D1	
20	57095	PITHD1	
20	5430	POLR2A	
20	5431	POLR2B	
20	5432	POLR2C	
20	5433	POLR2D	
20	5435	POLR2F	
20	5436	POLR2G	
20	5437	POLR2H	
20	5438	POLR2I	
20	5439	POLR2J	
20	5441	POLR2L	
20	9400	RECQL5	
20	26015	RPAP1	
20	79871	RPAP2	
20	55197	RPRD1A	
20	58490	RPRD1B	
20	23248	RPRD2	
20	85360	SYDE1	
21	570	BAAT	
21	400506	C16orf88	
21	7555	CNBP	
21	54865	GPATCH4	
21	92856	IMP4	
21	9933	KIAA0020	
21	84298	LLPH	
21	84549	MAK16	
21	51388	NIP7	
21	4869	NPM1	
21	10361	NPM2	
21	10360	NPM3	
21	64282	PAPD5	
21	55771	PRR11	
21	23029	RBM34	
21	6136	RPL12	
21	9045	RPL14	
21	6154	RPL26	
21	6156	RPL30	
21	25873	RPL36	
21	6168	RPL37A	
21	6780	STAU1	
21	6838	SURF6	
21	81844	TRIM56	
21	7270	TTF1	
21	84186	ZCCHC7	
21	7743	ZNF189	
21	10838	ZNF275	
21	197407	ZNF48	
21	116115	ZNF526	
22	118932	ANKRD22	
22	244	ANXA8L2	
22	200315	APOBEC3A	
22	822	CAPG	
22	219771	CCNY	
22	151195	CCNYL1	
22	65061	CDK15	
22	1382	CRABP2	
22	11269	DDX19B	
22	93099	DMKN	
22	8909	ENDOU	
22	83481	EPPK1	
22	23344	ESYT1	
22	64855	FAM129B	
22	51077	FCF1	
22	8857	FCGBP	
22	29094	HSPC159	
22	653499	LGALS7B	
22	10397	NDRG1	
22	57447	NDRG2	
22	221662	RBM24	
22	195814	SDR16C5	
22	6820	SULT2B1	
22	55287	TMEM40	
22	11219	TREX2	
22	54575	UGT1A10	
22	54577	UGT1A7	
22	54600	UGT1A9	
22	55432	YOD1	
22	7739	ZNF185	
23	8289	ARID1A	
23	57492	ARID1B	
23	196528	ARID2	
23	605	BCL7A	
23	9275	BCL7B	
23	9274	BCL7C	
23	29117	BRD7	
23	65980	BRD9	
23	8193	DPF1	
23	5977	DPF2	
23	8110	DPF3	
23	29998	GLTSCR1	
23	8681	JMJD7-PLA2G4B	
23	23506	KIAA0240	
23	57591	MKL1	
23	55193	PBRM1	
23	55274	PHF10	
23	653781	POTEJ	
23	6595	SMARCA2	
23	6597	SMARCA4	
23	6598	SMARCB1	
23	6599	SMARCC1	
23	6601	SMARCC2	
23	6602	SMARCD1	
23	6603	SMARCD2	
23	6604	SMARCD3	
23	6605	SMARCE1	
23	56907	SPIRE1	
23	6760	SS18	
23	26039	SS18L1	
24	55626	AMBRA1	
24	10425	ARIH2	
24	51665	ASB1	
24	79754	ASB13	
24	140461	ASB8	
24	55832	CAND1	
24	1154	CISH	
24	8065	CUL5	
24	55527	FEM1A	
24	56929	FEM1C	
24	123355	LRRC28	
24	4738	NEDD8	
24	115294	PCMTD1	
24	55251	PCMTD2	
24	142684	RAB40A	
24	282808	RAB40AL	
24	10966	RAB40B	
24	57799	RAB40C	
24	9616	RNF7	
24	8835	SOCS2	
24	122809	SOCS4	
24	9655	SOCS5	
24	9306	SOCS6	
24	30837	SOCS7	
24	92369	SPSB4	
24	6921	TCEB1	
24	7155	TOP2B	
24	56995	TULP4	
24	26118	WSB1	
25	9716	AQR	
25	10286	BCAS2	
25	8896	BUD31	
25	151903	CCDC12	
25	51362	CDC40	
25	988	CDC5L	
25	51340	CRNKL1	
25	143884	CWF19L2	
25	25879	DCAF13	
25	60625	DHX35	
25	1857	DVL3	
25	9156	EXO1	
25	55691	FRMD4A	
25	64599	GIGYF1	
25	55094	GPATCH1	
25	26086	GPSM1	
25	57461	ISY1	
25	56956	LHX9	
25	55180	LINS	
25	4926	NUMA1	
25	5356	PLRG1	
25	140730	RIMS4	
25	10603	SH2B2	
25	22938	SNW1	
25	84292	WDR83	
25	56949	XAB2	
25	11244	ZHX1	
25	7699	ZNF140	
26	10282	BET1	
26	51272	BET1L	
26	662	BNIP1	
26	148223	C19orf25	
26	160364	CLEC12A	
26	9527	GOSR1	
26	9570	GOSR2	
26	8775	NAPA	
26	8774	NAPG	
26	51594	NBAS	
26	94233	OPN4	
26	754	PTTG1IP	
26	60561	RINT1	
26	152579	SCFD2	
26	9554	SEC22B	
26	8773	SNAP23	
26	116841	SNAP47	
26	8677	STX10	
26	23673	STX12	
26	53407	STX18	
26	6809	STX3	
26	10228	STX6	
26	8417	STX7	
26	134957	STXBP5	
26	29091	STXBP6	
26	6845	VAMP7	
26	143187	VTI1A	
26	9183	ZW10	
27	10950	BTG3	
27	55571	C2orf29	
27	829	CAPZA1	
27	830	CAPZA2	
27	832	CAPZB	
27	23019	CNOT1	
27	25904	CNOT10	
27	4848	CNOT2	
27	4849	CNOT3	
27	57472	CNOT6	
27	246175	CNOT6L	
27	29883	CNOT7	
27	9337	CNOT8	
27	4616	GADD45B	
27	57482	KIAA1211	
27	9448	MAP4K4	
27	4316	MMP7	
27	339345	NANOS2	
27	125950	RAVER1	
27	92241	RCSD1	
27	158787	RIBC1	
27	146206	RLTPR	
27	9125	RQCD1	
27	6840	SVIL	
27	56157	TEX13A	
27	85456	TNKS1BP1	
27	10140	TOB1	
27	10766	TOB2	
28	1121	CHM	
28	1122	CHML	
28	346653	FAM71F2	
28	2664	GDI1	
28	2665	GDI2	
28	10890	RAB10	
28	201475	RAB12	
28	5872	RAB13	
28	51552	RAB14	
28	22931	RAB18	
28	5861	RAB1A	
28	57403	RAB22A	
28	53917	RAB24	
28	5862	RAB2A	
28	84932	RAB2B	
28	11031	RAB31	
28	11021	RAB35	
28	53916	RAB4B	
28	5868	RAB5A	
28	5869	RAB5B	
28	5878	RAB5C	
28	7879	RAB7A	
28	338382	RAB7B	
28	4218	RAB8A	
28	51209	RAB9B	
28	5875	RABGGTA	
28	11158	RABL2B	
28	158158	RASEF	
29	79777	ACBD4	
29	91452	ACBD5	
29	3301	DNAJA1	
29	23033	DOPEY1	
29	151393	FAM82A1	
29	55177	FAM82A2	
29	644815	FAM83G	
29	133746	JMY	
29	57553	MICAL3	
29	23148	NACAD	
29	23762	OSBP2	
29	114884	OSBPL10	
29	114885	OSBPL11	
29	9885	OSBPL2	
29	58488	PCTP	
29	9600	PITPNM1	
29	57605	PITPNM2	
29	83394	PITPNM3	
29	22930	RAB3GAP1	
29	5272	SERPINB9	
29	10290	SPEG	
29	9218	VAPA	
29	9217	VAPB	
29	348793	WDR53	
29	7542	ZFPL1	
30	23774	BRD1	
30	10902	BRD8	
30	27154	BRPF3	
30	55929	DMAP1	
30	57634	EP400	
30	80314	EPC1	
30	26122	EPC2	
30	54556	ING3	
30	51147	ING4	
30	84289	ING5	
30	221895	JAZF1	
30	10524	KAT5	
30	54799	MBTD1	
30	64769	MEAF6	
30	4610	MYCL1	
30	11143	MYST2	
30	7994	MYST3	
30	23522	MYST4	
30	23338	PHF15	
30	9767	PHF16	
30	79960	PHF17	
30	10761	PLAC1	
30	8295	TRRAP	
30	6944	VPS72	
31	113246	C12orf57	
31	8725	C19orf2	
31	54976	C20orf27	
31	163882	CNST	
31	64651	CSRNP1	
31	81566	CSRNP2	
31	81930	KIF18A	
31	284352	LRRC68	
31	5499	PPP1CA	
31	5500	PPP1CB	
31	5501	PPP1CC	
31	23368	PPP1R13B	
31	10848	PPP1R13L	
31	5504	PPP1R2	
31	5510	PPP1R7	
31	5511	PPP1R8	
31	84687	PPP1R9B	
31	79657	RPAP3	
31	63898	SH2D4A	
31	8036	SHOC2	
31	9627	SNCAIP	
31	8409	UXT	
31	116143	WDR92	
31	9765	ZFYVE16	
32	55082	ARGLU1	
32	79886	C9orf82	
32	84081	CCDC55	
32	57018	CCNL1	
32	57396	CLK4	
32	11052	CPSF6	
32	79869	CPSF7	
32	9879	DDX46	
32	23210	JMJD6	
32	51747	LUC7L3	
32	11051	NUDT21	
32	57661	PHRF1	
32	55119	PRPF38B	
32	22827	PUF60	
32	5930	RBBP6	
32	9584	RBM39	
32	58506	SCAF1	
32	9169	SCAF11	
32	9295	SRSF11	
32	23350	U2SURP	
32	6675	UAP1	
32	84132	USP42	
32	7310	ZRSR1	
33	51371	POMP	
33	5682	PSMA1	
33	5683	PSMA2	
33	5684	PSMA3	
33	5685	PSMA4	
33	5686	PSMA5	
33	5687	PSMA6	
33	5688	PSMA7	
33	143471	PSMA8	
33	5689	PSMB1	
33	5699	PSMB10	
33	5690	PSMB2	
33	5691	PSMB3	
33	5692	PSMB4	
33	5693	PSMB5	
33	5694	PSMB6	
33	5695	PSMB7	
33	5698	PSMB9	
33	5721	PSME2	
33	23198	PSME4	
33	9491	PSMF1	
33	8624	PSMG1	
