Disease,Bat,Brain,Epi,Heart,Kidney,Liver,Lung,SKM,Spleen,SubQ
Cerebral Ischemia,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,3.65E-01,1.00E+00,7.15E-01
Ureteral Calculi,1.00E+00,5.68E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.19E-01,1.00E+00,1.00E+00,1.00E+00
Ovarian Mucinous Adenocarcinoma,1.00E+00,1.00E+00,8.12E-01,1.00E+00,1.00E+00,1.00E+00,2.84E-01,1.00E+00,1.00E+00,1.00E+00
Autosomal dominant macrothrombocytopenia,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.05E-01,1.00E+00
LEOPARD Syndrome,1.00E+00,1.00E+00,1.00E+00,1.00E+00,8.89E-01,1.00E+00,7.09E-01,1.00E+00,5.42E-01,1.00E+00
Ischemia,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.42E-01
"NEPHROTIC SYNDROME, STEROID-RESISTANT, AUTOSOMAL RECESSIVE",6.63E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.74E-01,1.00E+00,1.00E+00,7.11E-01,1.00E+00
Brain Diseases,1.00E+00,4.40E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.11E-01,1.00E+00
Encephalopathies,1.00E+00,4.40E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.11E-01,1.00E+00
Malignant neoplasm of brain,1.00E+00,1.00E+00,1.00E+00,1.00E+00,8.90E-01,1.00E+00,3.37E-01,1.00E+00,9.50E-01,1.00E+00
Autosomal Recessive Centronuclear Myopathy,1.84E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Mental Retardation, X-Linked 1",1.00E+00,1.00E+00,1.00E+00,5.85E-01,1.00E+00,1.00E+00,6.60E-01,1.00E+00,1.00E+00,9.66E-01
Renal Cell Carcinoma,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,3.37E-01,1.00E+00,1.00E+00,8.79E-01
Chromophobe Renal Cell Carcinoma,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,3.37E-01,1.00E+00,1.00E+00,8.79E-01
Sarcomatoid Renal Cell Carcinoma,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,3.37E-01,1.00E+00,1.00E+00,8.79E-01
Collecting Duct Carcinoma of the Kidney,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,3.37E-01,1.00E+00,1.00E+00,8.79E-01
Papillary Renal Cell Carcinoma,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,3.37E-01,1.00E+00,1.00E+00,8.79E-01
Noonan Syndrome,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.16E-01,1.00E+00
Epidermolysis Bullosa,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.19E-01,1.00E+00,1.00E+00,7.05E-01
"Spastic Paraplegia, Hereditary",1.00E+00,3.47E-01,8.77E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Diabetic Angiopathies,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.44E-01,1.00E+00,1.00E+00,1.00E+00
"Microangiopathy, Diabetic",1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.44E-01,1.00E+00,1.00E+00,1.00E+00
Costello syndrome (disorder),1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.09E-01,1.00E+00,5.42E-01,1.00E+00
Cardio-facio-cutaneous syndrome,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.09E-01,1.00E+00,5.42E-01,1.00E+00
Tuberculosis,1.00E+00,1.00E+00,8.40E-01,1.00E+00,1.00E+00,7.74E-01,1.00E+00,1.00E+00,1.00E+00,6.53E-01
Williams Syndrome,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.17E-01,1.00E+00,1.00E+00,1.00E+00,6.53E-01
Wernicke-Korsakoff Syndrome,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.73E-01,1.00E+00,1.00E+00
Tauopathies,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.73E-01,1.00E+00,1.00E+00
INCLUSION BODY MYOPATHY WITH EARLY-ONSET PAGET DISEASE AND FRONTOTEMPORAL DEMENTIA,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.73E-01,1.00E+00,1.00E+00
Flaccid Muscle Tone,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.80E-01
Muscle hypotonia,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.80E-01
Floppy Muscles,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.80E-01
Muscle Tone Atonic,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.80E-01
Unilateral Hypotonia,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.80E-01
Neonatal Hypotonia,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.80E-01
Anoxemia,4.20E-01,8.63E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Anoxia,4.20E-01,8.63E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Hypoxia,4.20E-01,8.63E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Hypoxemia,4.20E-01,8.63E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Arthritis, Adjuvant-Induced",1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.84E-01,1.00E+00,1.00E+00,1.00E+00
"Arthritis, Collagen-Induced",1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.84E-01,1.00E+00,1.00E+00,1.00E+00
"Arthritis, Experimental",1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.84E-01,1.00E+00,1.00E+00,1.00E+00
Brain Neoplasms,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.84E-01,1.00E+00,1.00E+00,1.00E+00
Prostatic Neoplasms,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.84E-01,1.00E+00,1.00E+00,1.00E+00
Malignant neoplasm of prostate,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.84E-01,1.00E+00,1.00E+00,1.00E+00
Cadmium poisoning,4.89E-01,1.00E+00,8.12E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
